tumor_001, 6956, 130097, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 72896, 126272, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 64028, 128206, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 71708, 124396, 1, 1, 1, 0, 1, 1, 1, 1, 1
tumor_001, 73408, 127040, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 72512, 126784, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 47916, 86254, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 72803, 122897, 0, 1, 1, 0, 1, 1, 0, 0, 1
tumor_001, 71344, 126609, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 72768, 126400, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 70361, 134247, 0, 1, 1, 1, 1, 1, 1, 1, 0
tumor_001, 74816, 123712, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 39129, 62821, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 4635, 134679, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 67648, 135488, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 70851, 126452, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 70215, 125596, 0, 0, 0, 1, 1, 1, 1, 1, 1
tumor_001, 6592, 130880, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 72883, 123983, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 71751, 124449, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 71574, 125658, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 69440, 124608, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 71355, 126735, 1, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 7872, 135744, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumor_001, 71706, 132567, 0, 1, 1, 1, 1, 1, 1, 1, 1
tumor_001, 70248, 125966, 0, 0, 0, 1, 1, 1, 1, 1, 1
